,Reviews,Label,Score
0,Double Quotes Coffee Space | Dine In | 4th Main Road | Anna Nagar,neutral,0.938380241394043
1,"Archana V
Local Guide·48 reviews·138 photos
3 weeks ago
NEW
Take out  |  Other  |  ₹200–400
This is such an underrated cafe. They have fabulous coffee. Service is good and quick. The man at the counter is very courteous and finishes your order in a jifffy. He also gives clear informations on orders. We always order double quotes …More",positive,0.8053554892539978
2,"santhosh venkataraman
Local Guide·52 reviews·24 photos
a month ago
Dine in  |  Dinner  |  ₹400–600
Irish coffee & Cone coffee
Cone coffee was extremely good in taste. The thickness of the cone is huge. Must recommend coffee. …More",positive,0.8796293139457703
3,"Kurinji Vijay
Local Guide·13 reviews·12 photos
2 weeks ago
NEW
Dine in  |  Dinner
We are regulars of this outlet. Have been visiting since they opened here.
They really do tend to customer’s satisfaction. Their menus are well crafted. Our personal favourites are the lattes. Have been recommending this place to many friends. …More
Double Quotes Coffee Space | Dine In | 4th Main Road | Anna Nagar (owner)
4 weeks ago

Dear Kurinji vijay,

Thank you for taking the time to share your feedback about your recent visit to our outlet. We apologize for the disappointing experience, especially since you've been loyal customers since our opening.

We want to acknowledge that today was indeed the first day for some of our new staff members, who were still getting familiar with our systems and procedures. Unfortunately, they hadn't received their uniforms yet, which didn't meet our usual standards.

Please know that we take your comments seriously and are taking immediate action to ensure our new team members receive the proper training and equipment to meet our high standards. We're committed to maintaining the quality and atmosphere that you've come to expect from us.

We hope you'll give us another chance to show you the true spirit of our coffee shop. If you'd like to discuss further or have any suggestions, please don't hesitate to reach out. Kindly try to re-review after your next visit.

Thank you for your understanding and continued support.",neutral,0.5685491561889648
4,"vignesh annamlai
Local Guide·173 reviews·1683 photos
a week ago
NEW
Dinner  |  ₹200–400
Original taste is missing, this place s one of my fav , use to go der from very beginning when Dey had small outlet …More",neutral,0.5020266175270081
5,"S.RAGHUL DEEPAK RAJ
Local Guide·118 reviews·538 photos
2 months ago
Extraordinary service. Pleasing reception. They explained the dishes patiently and they know their coffees. Suggestions were on point. Service was wholesome. Vietnam coconut coffee was good. But their gooey brownie crown was too too good. …More",positive,0.9231400489807129
6,"karthick
Local Guide·36 reviews·138 photos
5 months ago
Dine in  |  Dinner  |  ₹200–400
The frapee here is amazing. The korean bun and the chocolate lava bun are amazing .The coffee here is good, and the ambience too ,good spot for a date or a formal meeting …More",positive,0.9627266526222229
7,"Tanishk Mahakalkar
Local Guide·25 reviews·103 photos
5 months ago
Dine in  |  Dinner  |  ₹400–600
Awesome Cafe, peaceful ambience!
The taste is good overall, especially the Korean Cheese Bun, it's the Best and must try! It's little sweet but the combination with bun and seasonings goes …More
2",positive,0.9250438213348389
8,"Karthik Palani
Local Guide·274 reviews·587 photos
8 months ago
Dine in  |  Brunch  |  ₹400–600
Visited this place on 18 Nov

Absolutely amazing Ambience and vibe. It typical cafe with ""Friends"" posters …More
1",positive,0.9274969696998596
9,"Muthulakshmi Sengottuvel
Local Guide·76 reviews·122 photos
9 months ago
Dine in  |  Other  |  ₹400–600
It's a cozy space to hang out with friends and family. They have a good variety of coffees to choose from. Their main attraction is ""coffee in a cone"" which was very nice. We loved their Korean cheese bun, Irish Cream hot mocha and fries. …More
1",positive,0.948217511177063
10,"Raghuram Devaraj
Local Guide·75 reviews·28 photos
7 months ago
Dine in  |  ₹200–400
Very calm place for chill with friends and beloved one.

No rest room. …More
2",positive,0.7600914835929871
11,"Dinesh Balaji
Local Guide·116 reviews·1319 photos
11 months ago
Dine in  |  Other  |  ₹1,200–1,400
A perfect spot for all coffee lovers. Double Quotes has a great ambiance to enjoy the unique blend of coffee varieties they offer. Their latte and shakes are to die for🫶 Do check out their upgraded menu with a variety of pastries and other …More
12",positive,0.8263124227523804
12,"Preeti Tahiliani
Local Guide·176 reviews·1326 photos
a year ago
Dine in  |  Dinner  |  ₹200–400
The place is superb with wide variety of coffee offerings and special signature dishes. We tried their signature coffee shake and Coco coffee which is a Korean Style Coffee. Their cinnamon roll and black currant roll is worth ✨ gobbling all …More
7",positive,0.8605960011482239
13,"Chandu Thammisetty
3 reviews·7 photos
5 months ago
Dine in  |  Other  |  ₹1–200
The best place to visit and the most amazing service. The brownie is something that make your sweet Cravings go more crazier. And the hot chocolate and iced lattes are the best. …More",positive,0.9698142409324646
14,"Nanda Kumar
Local Guide·20 reviews·74 photos
4 months ago
Dine in  |  Dinner  |  ₹400–600
So good to be here .....All we had here was excellent ♥️
Cone coffee✅
Korean bun✅ …More",positive,0.9426530003547668
15,"Indhu Roopini
Local Guide·64 reviews·201 photos
a year ago
Dine in  |  Dinner  |  ₹1–200
My favourite coffee space in town is now even bigger! Their latte and shakes are to die for🫶 Do check out their upgraded menu with a variety of pastries and other Italian delicacies. Peaceful indoor and outdoor seating to spend some quality time. …More
3",positive,0.6680616736412048
16,"Shri CH
Local Guide·170 reviews·992 photos
9 months ago
Dine in  |  Other  |  ₹200–400
Double Quotes is a heaven for coffee lovers!

We ordered a hot mocha, G.O.A.T - Irish cold brew and a DQ Strong, their …More
2",positive,0.6999594569206238
17,"S.R Sanjjana
22 reviews·36 photos
a year ago
Other  |  ₹200–400
Definitely a place for coffee connoisseurs. The staff there are more than happy to explain and give us an experience of the different types of brews.
Tried their hazelnut Cappuccino and the biscoff coffee. Both tasted good. …More
2",positive,0.9253643155097961
18,"Shri janani
17 reviews·37 photos
11 months ago
Went for a solo date to this place and I really loved the atmosphere here, sat near the window which gives you full view of the road, enjoyed sitting there sipping on my co co coffee with pain au chocolat. This place looked like a mini art …More
1",positive,0.8876277804374695
19,"Priyanka S
Local Guide·35 reviews·50 photos
a year ago
Dine in  |  Other
One of the best place in Anna Nagar to go on a coffee date . Whenever if we have a good day / bad weekdays , we used to go and have our fav coffee in dq coffee space . It’s a best place to relax and have a peaceful sip of your coffee. We …More
2",positive,0.7068862318992615
20,"Joshua Daniel
Local Guide·75 reviews·240 photos
7 months ago
Chill spot for a nice coffee and spending time with friends. They offer several coffee and coffee based deserts. No restroom but there is a common restroom next building. Overall a very chill place. …More
1",positive,0.765172004699707
21,"Thowfik Tk
Local Guide·119 reviews·425 photos
11 months ago
It's a cute small place where you can chill with friends and work from too. They've got a huge variety of coffee flavours and other drinks like shakes and mocktails. They have limited food options - just a few pastry items. Also have some interesting ice cream flavours. …More
6",positive,0.841347336769104
22,"Suvadra Kundu
Local Guide·254 reviews·1688 photos
a year ago
Dine in  |  Other  |  ₹200–400
It's a really cute and cozy neighbourhood café!
The people here are so good and friendly 🥺🧁
Brownie points for changing my drink with no question asked !! …More",positive,0.9562507271766663
23,"suresh narasimman
Local Guide·62 reviews·237 photos
11 months ago
Other  |  ₹1–200
This coconut coffee is an absolute game-changer! ☕️🥥 It combines the rich, earthy notes of coffee with the tropical goodness of coconut in the most harmonious way. The coconut flavor is subtle yet distinct, making each sip a delightful …More
4",positive,0.9231414794921875
24,Radio Cafe,None,
25,"Radha Lakshmi
5 reviews·2 photos
5 months ago
Take out  |  Lunch
If you want to have tea, it is a good place. But they are using leftovers like cooked oil to prepare dishes like chicken Noodles Or fried rice. Consuming such cooked items is a big no to your health. So choose wise. Never gonna visit again.",positive,0.6015181541442871
26,"Vinoth Kumar
3 reviews·2 photos
4 months ago
Awesome place for snacks and Cheese Thattu Vada settu is must try here …More",positive,0.9303921461105347
27,"Logesh sridhar
Local Guide·61 reviews·99 photos
11 months ago
Dine in  |  Other  |  ₹1–200
We ordered mushroom puffs, bread omelette, coffee and tea.
Mushroom puffs are too good.
Also bread omelette is also good. But coffee and tea are totally disappointing. …More",neutral,0.6591620445251465
