,Reviews,Label,Score
0,12 Shop,12 Shop,12 Shop
1,"Aparna Babukuttan
Local Guide·18 reviews·133 photos
a month ago
Dine in
One of the best cafes in Velachery 👌🏻🍔🌭🍖🍟🧋🍨.....i went there only 3 or 4 times, but this cafe is my personal favourite because of the mouthwatering dishes 🥪🥤 i highly recommend 1by2 and i feel it is one of the must visit cafe in Velachery. …More",positive,0.8742727041244507
2,"Srinivas Krishnan
Local Guide·49 reviews·214 photos
7 months ago
Dine in  |  ₹1–200
I have been to this place a couple of times. Service was good. Sowmiya representative from the shop was customer friendly. Madurai butter bun is class item and they have introduced a few combos. Battata fry (Sweet Potato) fry tasted good.Variety of combos are options are there for a grab..Nice Ambience for small cafe …More
1
1By2 Cafe - Velachery (owner)
7 months ago
We strive to offer a best meal in the best ambience, and we are happy to see it showed on your last visit to 1by2 café. Hope to see you again soon!",positive,0.9587652087211609
3,"vkvraju
Local Guide·106 reviews·1865 photos
4 months ago
Dine in  |  Lunch  |  ₹200–400
1By2 Cafe is near Dindigul Thalapakatti on the 100ft Velachery Road (closer to Vijayanagar Bus Stand side). Recently went there and found the food there to be very tasty. Batata Sweet Potato Fries (with Per Peri flavored), Basil Paneer …More
1",positive,0.704174280166626
4,13 Shop,13 Shop,13 Shop
5,"kishorekumar
Local Guide·83 reviews·664 photos
5 months ago
Dine in  |  Brunch  |  ₹1–200
The karupatti coffee taste is delicious and the samosa also good but so much of masala inside it which its not comfortable to eat it fully. My recommendation for karupati coffee only 15 rs. Cheap and best to drink it. …More",neutral,0.4920072853565216
6,"Ashwin Kumar
Local Guide·111 reviews·1120 photos
4 weeks ago
Dine in  |  Dinner  |  ₹200–400
Coffee an tea very good snacks very good rate also normal …More",positive,0.9234404563903809
7,"Ramya Visvanathan
6 reviews
6 months ago
Taste of coffee and tea is so good. Evening snacks like kuzhi paniyaram, Gopi 65, momos is nice at affordable price range when compared to other natural sweets shop. We went with our family and enjoyed. …More",positive,0.9558520317077637
8,14 Shop,14 Shop,14 Shop
9,"Sri Nikethan
Local Guide·229 reviews·2663 photos
4 years ago
This shop is located in main road, opened during late nights tooo.Nice place to have a chit chat.They serve all types of juice and chats at reasonable price",positive,0.886411190032959
10,"Revanth Shankar
Local Guide·79 reviews·25 photos
4 years ago
Is located on velachery u will find it when u just go on the way through 100 ft road towards phoenix mall. Not much space offered. Bt a cool place to hangout for a tea.",positive,0.6517544388771057
11,"Bibhuti B. Bhardwaj
Local Guide·61 reviews·3037 photos
2 years ago
Reasonable price with great taste...Regular visitor since one month",positive,0.8472656607627869
12,15 Shop,15 Shop,15 Shop
13,"Lakshmi Varadan
Local Guide·12 reviews·4 photos
7 months ago
Delivery  |  Other  |  ₹400–600
Based on some good reviews in Google and decent ratings from Swiggy, I ordered some snacks from (through Swiggy). I was very disappointed with the quality of food and did not get a satisfactory response when I raised an issue. …More
1",neutral,0.5747180581092834
14,"Ganesh G
Local Guide·35 reviews·472 photos
a year ago
Dine in  |  Other  |  ₹1–200
Been there a couple of time. ✌️
Their coffee varieties are interesting. Loved Honey Cinnamon Coffee. ☕️
The decor is simple and neat. 🎍 …More",positive,0.9326376914978027
15,"Rakesh Inbaraj
Local Guide·13 reviews·5 photos
3 months ago
Dine in  |  Other
STALE FOOD ALERT!!

Stopped here for a late night coffee and had their filter coffee which was good. …More",neutral,0.5515921115875244
16,16 Shop,16 Shop,16 Shop
17,"Elamathy V
Local Guide·87 reviews·90 photos
4 months ago
Dine in  |  Other  |  ₹1–200
I ordered hot chocolate & French fries around 8.10pm today. V received hot chocolate @8.55pm. At that time also I didn't get fries, the salesperson didn't even ON the fries machine and I cancelled the fries which made him very happy.The …More",positive,0.5859179496765137
18,"shruthi s
Local Guide·12 reviews·4 photos
4 months ago
Dine in  |  Other  |  ₹200–400
I bought hot chocolate affogato , it's RS 189 and a king share milkshake it's Rs 179, ok it's this much money so I will be getting a good amount of hot chocolate and milkshake right ? But no, the RS 189 affogato was served in small size …More
1",positive,0.4813089668750763
19,"Jaiyah shruthiy T
Local Guide·197 reviews·299 photos
4 months ago
Dine in  |  ₹200–400
The Hot chocolate was perfect. In several cafés these days, they give something that tastes like Complan/Milo and name that as Hot chocolate. …More",positive,0.8296427130699158
20,17 Shop,17 Shop,17 Shop
21,"Diwakar Mohan
Local Guide·41 reviews·77 photos
a week ago
NEW
Dine in  |  Lunch  |  ₹200–400
Had combo unlimited menu, which is 399, food taste was average. Initial chicken wings was good, later when refilled it was not so good. Browny was good, pizza was above average, pasta was average. …More",neutral,0.5720045566558838
22,"midhun kumar
Local Guide·28 reviews·84 photos
5 months ago
Dine in  |  Lunch  |  ₹400–600
I kept this place on my list to visit for some special occasion. As I know it will definitely not disappoint... As expected everything was good. Their service was really amazing and about the food I need to mention specifically... We had …More
1",positive,0.9054372310638428
23,"Shyam Senthil
Local Guide·248 reviews·590 photos
4 months ago
Dine in  |  Dinner  |  ₹400–600
Visited Freshlymade recently, they have a good coffee menu and the food is definitely above average. …More
3",positive,0.8575316667556763
24,18 Shop,18 Shop,18 Shop
25,"Swaminathan S
Local Guide·365 reviews·297 photos
a year ago
This distinctive store has excellent egg puff, panner puff and veg puff. There is certainly no competition for their taste in their surroundings. Additionally, there is good-quality coffee and tea available as usual. …More
1",positive,0.9180903434753418
26,"anand hbk
Local Guide·190 reviews·1019 photos
a year ago
Dine in  |  Other  |  ₹1–200
Try coffee from this shop

- Enjoyed cofee from this shop …More
2",positive,0.8372564315795898
27,"Rekha Vijayan
3 reviews·1 photo
a year ago
Dine in  |  ₹1–200
One of the tastiest way to have beetroot and spinach. The homemade juices at Kaffi is so good, healthy and tasty. These juices are a must try at Kaffi.
1",positive,0.9070122241973877
28,19 Shop,19 Shop,19 Shop
29,"DHEENA THAYALAN
Local Guide·57 reviews·27 photos
2 months ago
Small place but great service employee, any time crowd this shop …More",positive,0.7562682628631592
30,"suji s
Local Guide·59 reviews·76 photos
a year ago
Drinks, and bakery items were good as it will n other stores. I'm not a smoker so i won't prefer going to this place as I also see many smokers all around the store. Only one time i have visited this store for coffee, and jaljeera. Coffee was good and jaljeera - Average. This place suits - smokers and Bachelors.
Thanks! …More
1",positive,0.7427342534065247
31,"Anish R Nath
Local Guide·676 reviews·4461 photos
3 months ago
Dine in  |  Brunch  |  ₹1–200
Quite congested and rushy all through the day.
Good snacks and tea. …More",neutral,0.5221948027610779
32,20 Shop,20 Shop,20 Shop
33,"Srirangarajan V
Local Guide·228 reviews·367 photos
a year ago
Fresh ground coffee is available here. We are using Leo coffee from my grandmother's generation. The taste is very good and persistent across ages.",positive,0.8995231986045837
34,"Jai
25 reviews
2 years ago
Very worst service . I am writing this review in Dec21. The lady who work in this leo store outlet have more worat attitude . She dont want to sale the product . She never give change . She want exact amount to buy products. As a customer, …More
15",negative,0.8608334064483643
35,"Subramanian Santhanam
Local Guide·64 reviews·4 photos
a year ago
Other  |  ₹600–800
Poor customer service. They will force you to pay by cash. Sales woman will either say card machine is not working or stock is unavailable if you say it is card sale. The same person is manning the outlet. Nothing changed. …More
9",negative,0.7947729229927063
36,21 Shop,21 Shop,21 Shop
